B01003_001E,NAME,GEOID,american indian area/alaska native area/hawaiian home land
3195,"Acoma Pueblo and Off-Reservation Trust Land, NM",25000US0010,0010
25008,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",25000US0020,0020
521,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",25000US0050,0050
6379,"Allegany Reservation, NY",25000US0080,0080
0,"Alturas Indian Rancheria, CA",25000US0095,0095
1622,"Annette Island Reserve, AK",25000US0110,0110
276,"Aroostook Band of Micmac Trust Land, ME",25000US0115,0115
0,"Auburn Rancheria and Off-Reservation Trust Land, CA",25000US0120,0120
0,"Augustine Reservation, CA",25000US0125,0125
1394,"Bad River Reservation, WI",25000US0140,0140
716,"Barona Reservation, CA",25000US0155,0155
184,"Battle Mountain Reservation, NV",25000US0165,0165
1143,"Bay Mills Reservation and Off-Reservation Trust Land, MI",25000US0170,0170
42,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",25000US0185,0185
125,"Berry Creek Rancheria and Off-Reservation Trust Land, CA",25000US0200,0200
0,"Big Bend Rancheria, CA",25000US0215,0215
636,"Big Cypress Reservation, FL",25000US0225,0225
6,"Big Lagoon Rancheria, CA",25000US0240,0240
462,"Big Pine Reservation, CA",25000US0250,0250
201,"Big Sandy Rancheria, CA",25000US0265,0265
186,"Big Valley Rancheria, CA",25000US0275,0275
1827,"Bishop Reservation, CA",25000US0290,0290
10994,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",25000US0305,0305
77,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",25000US0325,0325
946,"Bois Forte Reservation, MN",25000US0335,0335
97,"Bridgeport Reservation, CA",25000US0350,0350
690,"Brighton Reservation, FL",25000US0360,0360
162,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",25000US0400,0400
808,"Cabazon Reservation, CA",25000US0415,0415
99,"Cahuilla Reservation, CA",25000US0435,0435
493,"Campbell Ranch, NV",25000US0440,0440
374,"Campo Indian Reservation, CA",25000US0450,0450
0,"Capitan Grande Reservation, CA",25000US0495,0495
238,"Carson Colony, NV",25000US0510,0510
934,"Catawba Reservation, SC",25000US0525,0525
2341,"Cattaraugus Reservation, NY",25000US0540,0540
13,"Cedarville Rancheria and Off-Reservation Trust Land, CA",25000US0555,0555
65,"Celilo Village, OR",25000US0560,0560
847,"Chehalis Reservation and Off-Reservation Trust Land, WA",25000US0575,0575
345,"Chemehuevi Reservation, CA",25000US0585,0585
8334,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",25000US0605,0605
0,"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",25000US0620,0620
639,"Chitimacha Reservation, LA",25000US0635,0635
1617,"Pueblo de Cochiti, NM",25000US0680,0680
0,"Coconut Creek Trust Land, FL",25000US0690,0690
1172,"Cocopah Reservation, AZ",25000US0695,0695
6921,"Coeur d'Alene Reservation, ID",25000US0705,0705
238,"Cold Springs Rancheria, CA",25000US0720,0720
9188,"Colorado River Indian Reservation, AZ--CA",25000US0735,0735
130,"Colusa Rancheria, CA",25000US0750,0750
7706,"Colville Reservation and Off-Reservation Trust Land, WA",25000US0760,0760
75,"Coos, Lower Umpqua, and Siuslaw Reservation and Off-Reservation Trust Land, OR",25000US0770,0770
474,"Coquille Reservation, OR",25000US0775,0775
44,"Cortina Indian Rancheria, CA",25000US0780,0780
76,"Coushatta Reservation and Off-Reservation Trust Land, LA",25000US0795,0795
75,"Cow Creek Reservation and Off-Reservation Trust Land, OR",25000US0815,0815
188,"Coyote Valley Reservation, CA",25000US0825,0825
6929,"Crow Reservation and Off-Reservation Trust Land, MT",25000US0845,0845
2077,"Crow Creek Reservation, SD",25000US0855,0855
325,"Dresslerville Colony, NV",25000US0940,0940
0,"Dry Creek Rancheria and Off-Reservation Trust Land, CA",25000US0955,0955
1541,"Duck Valley Reservation, NV--ID",25000US0965,0965
289,"Duckwater Reservation, NV",25000US0975,0975
9773,"Eastern Cherokee Reservation, NC",25000US0990,0990
858,"Elko Colony, NV",25000US1005,1005
115,"Elk Valley Rancheria and Off-Reservation Trust Land, CA",25000US1010,1010
139,"Ely Reservation, NV",25000US1040,1040
1,"Enterprise Rancheria, CA",25000US1055,1055
0,"Ewiiaapaayp Reservation, CA",25000US1065,1065
261,"Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land, NV",25000US1070,1070
615,"Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land, NV",25000US1075,1075
482,"Flandreau Reservation, SD",25000US1100,1100
29031,"Flathead Reservation, MT",25000US1110,1110
3924,"Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI",25000US1125,1125
602,"Forest County Potawatomi Community and Off-Reservation Trust Land, WI",25000US1135,1135
14748,"Fort Apache Reservation, AZ",25000US1140,1140
3025,"Fort Belknap Reservation and Off-Reservation Trust Land, MT",25000US1150,1150
7190,"Fort Berthold Reservation, ND",25000US1160,1160
97,"Fort Bidwell Reservation and Off-Reservation Trust Land, CA",25000US1170,1170
5896,"Fort Hall Reservation and Off-Reservation Trust Land, ID",25000US1185,1185
131,"Fort Independence Reservation, CA",25000US1195,1195
570,"Fort McDermitt Indian Reservation, NV--OR",25000US1210,1210
1032,"Fort McDowell Yavapai Nation Reservation, AZ",25000US1220,1220
1756,"Fort Mojave Reservation and Off-Reservation Trust Land, AZ--CA--NV",25000US1235,1235
10262,"Fort Peck Indian Reservation and Off-Reservation Trust Land, MT",25000US1250,1250
34,"Fort Pierce Reservation, FL",25000US1260,1260
0,"Fort Sill Apache Indian Reservation, NM",25000US1270,1270
1813,"Fort Yuma Indian Reservation, CA--AZ",25000US1280,1280
13661,"Gila River Indian Reservation, AZ",25000US1310,1310
120,"Goshute Reservation, NV--UT",25000US1340,1340
549,"Grand Portage Reservation and Off-Reservation Trust Land, MN",25000US1355,1355
408,"Grand Ronde Community and Off-Reservation Trust Land, OR",25000US1365,1365
717,"Grand Traverse Reservation and Off-Reservation Trust Land, MI",25000US1370,1370
21,"Greenville Rancheria, CA",25000US1380,1380
195,"Grindstone Indian Rancheria, CA",25000US1395,1395
20,"Guidiville Rancheria and Off-Reservation Trust Land, CA",25000US1400,1400
535,"Hannahville Indian Community and Off-Reservation Trust Land, MI",25000US1410,1410
126,"Havasupai Reservation, AZ",25000US1440,1440
1883,"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN",25000US1450,1450
164,"Hoh Indian Reservation and Off-Reservation Trust Land, WA",25000US1460,1460
1503,"Hollywood Reservation, FL",25000US1475,1475
3115,"Hoopa Valley Reservation, CA",25000US1490,1490
8287,"Hopi Reservation and Off-Reservation Trust Land, AZ",25000US1505,1505
362,"Hopland Rancheria, CA",25000US1515,1515
230,"Houlton Maliseet Reservation and Off-Reservation Trust Land, ME",25000US1530,1530
1146,"Hualapai Indian Reservation and Off-Reservation Trust Land, AZ",25000US1545,1545
50,"Huron Potawatomi Reservation and Off-Reservation Trust Land, MI",25000US1550,1550
220,"Immokalee Reservation, FL",25000US1555,1555
0,"Inaja and Cosmit Reservation, CA",25000US1560,1560
769,"Indian Township Reservation, ME",25000US1575,1575
238,"Iowa (KS-NE) Reservation and Off-Reservation Trust Land, KS--NE",25000US1590,1590
26468,"Isabella Reservation and Off-Reservation Trust Land, MI",25000US1610,1610
3744,"Isleta Pueblo, NM",25000US1625,1625
0,"Jackson Rancheria, CA",25000US1640,1640
43,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",25000US1655,1655
0,"Jamul Indian Village, CA",25000US1670,1670
1910,"Jemez Pueblo, NM",25000US1685,1685
0,"Jena Band of Choctaw Reservation, LA",25000US1690,1690
3092,"Jicarilla Apache Nation Reservation and Off-Reservation Trust Land, NM",25000US1700,1700
277,"Kaibab Indian Reservation, AZ",25000US1720,1720
295,"Kalispel Reservation and Off-Reservation Trust Land, WA",25000US1735,1735
468,"Karuk Reservation and Off-Reservation Trust Land, CA",25000US1750,1750
4343,"Kickapoo (KS) Reservation, KS",25000US1770,1770
355,"Kickapoo (TX) Reservation, TX",25000US1775,1775
23,"Klamath Reservation, OR",25000US1785,1785
45,"Kootenai Reservation and Off-Reservation Trust Land, ID",25000US1800,1800
3023,"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, WI",25000US1815,1815
3476,"Lac du Flambeau Reservation, WI",25000US1825,1825
198,"Lac Vieux Desert Reservation, MI",25000US1830,1830
4051,"Laguna Pueblo and Off-Reservation Trust Land, NM",25000US1840,1840
439,"La Jolla Reservation, CA",25000US1850,1850
11185,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",25000US1860,1860
2952,"L'Anse Reservation and Off-Reservation Trust Land, MI",25000US1880,1880
55,"La Posta Indian Reservation, CA",25000US1895,1895
143,"Las Vegas Indian Colony, NV",25000US1915,1915
320,"Laytonville Rancheria, CA",25000US1925,1925
10848,"Leech Lake Reservation and Off-Reservation Trust Land, MN",25000US1940,1940
0,"Likely Rancheria, CA",25000US1955,1955
106,"Little River Reservation and Off-Reservation Trust Land, MI",25000US1960,1960
82,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",25000US1963,1963
220,"Lone Pine Reservation, CA",25000US1970,1970
7,"Lookout Rancheria, CA",25000US1980,1980
67,"Los Coyotes Reservation, CA",25000US1995,1995
89,"Lovelock Indian Colony, NV",25000US2015,2015
1582,"Lower Brule Reservation and Off-Reservation Trust Land, SD",25000US2030,2030
799,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",25000US2040,2040
381,"Lower Sioux Indian Community, MN",25000US2055,2055
4957,"Lummi Reservation, WA",25000US2070,2070
0,"Lytton Rancheria, CA",25000US2075,2075
1611,"Makah Indian Reservation, WA",25000US2085,2085
406,"Manchester-Point Arena Rancheria, CA",25000US2100,2100
70,"Manzanita Reservation and Off-Reservation Trust Land, CA",25000US2115,2115
1363,"Maricopa (Ak Chin) Indian Reservation, AZ",25000US2130,2130
236,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",25000US2145,2145
0,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation, MI",25000US2150,2150
3686,"Menominee Reservation and Off-Reservation Trust Land, WI",25000US2175,2175
159,"Mesa Grande Reservation, CA",25000US2190,2190
3771,"Mescalero Reservation, NM",25000US2205,2205
8,"Miccosukee Reservation and Off-Reservation Trust Land, FL",25000US2240,2240
9,"Middletown Rancheria, CA",25000US2255,2255
4875,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",25000US2270,2270
70,"Minnesota Chippewa Trust Land, MN",25000US2285,2285
7817,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS",25000US2300,2300
224,"Moapa River Indian Reservation, NV",25000US2315,2315
77,"Mohegan Reservation and Off-Reservation Trust Land, CT",25000US2320,2320
0,"Montgomery Creek Rancheria, CA",25000US2330,2330
259,"Mooretown Rancheria and Off-Reservation Trust Land, CA",25000US2340,2340
562,"Morongo Reservation and Off-Reservation Trust Land, CA",25000US2360,2360
4049,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",25000US2375,2375
1915,"Nambe Pueblo and Off-Reservation Trust Land, NM",25000US2400,2400
29,"Narragansett Reservation, RI",25000US2415,2415
175462,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",25000US2430,2430
18654,"Nez Perce Reservation, ID",25000US2445,2445
655,"Nisqually Reservation, WA",25000US2460,2460
1080,"Nooksack Reservation and Off-Reservation Trust Land, WA",25000US2475,2475
4785,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",25000US2490,2490
108,"North Fork Rancheria and Off-Reservation Trust Land, CA",25000US2495,2495
0,"Northwestern Shoshone Reservation, UT",25000US2505,2505
7188,"Ohkay Owingeh, NM",25000US2510,2510
15,"Oil Springs Reservation, NY",25000US2535,2535
4638,"Omaha Reservation, NE--IA",25000US2550,2550
0,"Oneida Nation Reservation, NY",25000US2555,2555
24086,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",25000US2560,2560
184,"Onondaga Nation Reservation, NY",25000US2570,2570
0,"Ontonagon Reservation, MI",25000US2580,2580
47937,"Osage Reservation, OK",25000US2595,2595
281,"Paiute (UT) Reservation, UT",25000US2625,2625
1301,"Pala Reservation, CA",25000US2635,2635
3863,"Pascua Pueblo Yaqui Reservation and Off-Reservation Trust Land, AZ",25000US2680,2680
0,"Paskenta Rancheria, CA",25000US2685,2685
301,"Passamaquoddy Trust Land, ME",25000US2695,2695
169,"Pauma and Yuima Reservation, CA",25000US2715,2715
270,"Pechanga Reservation, CA",25000US2745,2745
846,"Penobscot Reservation and Off-Reservation Trust Land, ME",25000US2760,2760
367,"Picayune Rancheria and Off-Reservation Trust Land, CA",25000US2775,2775
1793,"Picuris Pueblo, NM",25000US2785,2785
19282,"Pine Ridge Reservation, SD--NE",25000US2810,2810
140,"Pinoleville Rancheria, CA",25000US2820,2820
0,"Pit River Trust Land, CA",25000US2835,2835
787,"Pleasant Point Reservation, ME",25000US2850,2850
443,"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",25000US2865,2865
66,"Pokagon Reservation and Off-Reservation Trust Land, MI",25000US2890,2890
15,"Ponca (NE) Trust Land, NE--IA",25000US2900,2900
725,"Port Gamble Reservation and Off-Reservation Trust Land, WA",25000US2910,2910
7613,"Port Madison Reservation, WA",25000US2925,2925
1458,"Prairie Band of Potawatomi Nation Reservation, KS",25000US2980,2980
197,"Prairie Island Indian Community and Off-Reservation Trust Land, MN",25000US2985,2985
3811,"Pueblo of Pojoaque and Off-Reservation Trust Land, NM",25000US2990,2990
47823,"Puyallup Reservation and Off-Reservation Trust Land, WA",25000US3000,3000
1640,"Pyramid Lake Paiute Reservation, NV",25000US3010,3010
257,"Quartz Valley Reservation and Off-Reservation Trust Land, CA",25000US3020,3020
448,"Quileute Reservation, WA",25000US3030,3030
1272,"Quinault Reservation, WA",25000US3040,3040
0,"Ramona Village, CA",25000US3070,3070
1079,"Red Cliff Reservation and Off-Reservation Trust Land, WI",25000US3085,3085
36,"Redding Rancheria, CA",25000US3095,3095
5907,"Red Lake Reservation, MN",25000US3100,3100
265,"Redwood Valley Rancheria, CA",25000US3115,3115
1002,"Reno-Sparks Indian Colony, NV",25000US3130,3130
18,"Resighini Rancheria, CA",25000US3145,3145
1131,"Rincon Reservation, CA",25000US3165,3165
15,"Roaring Creek Rancheria, CA",25000US3185,3185
206,"Robinson Rancheria and Off-Reservation Trust Land, CA",25000US3195,3195
3913,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",25000US3205,3205
20,"Rohnerville Rancheria, CA",25000US3220,3220
11315,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",25000US3235,3235
337,"Round Valley Reservation and Off-Reservation Trust Land, CA",25000US3250,3250
0,"Rumsey Indian Rancheria, CA",25000US3265,3265
1232,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA",25000US3280,3280
204,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",25000US3285,3285
656,"St. Croix Reservation and Off-Reservation Trust Land, WI",25000US3305,3305
3244,"St. Regis Mohawk Reservation, NY",25000US3320,3320
6132,"Salt River Reservation, AZ",25000US3340,3340
10419,"San Carlos Reservation, AZ",25000US3355,3355
5069,"Sandia Pueblo, NM",25000US3370,3370
4261,"San Felipe Pueblo, NM",25000US3400,3400
1924,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",25000US3415,3415
132,"San Manuel Reservation and Off-Reservation Trust Land, CA",25000US3445,3445
819,"San Pasqual Reservation, CA",25000US3460,3460
695,"Santa Ana Pueblo, NM",25000US3480,3480
11613,"Santa Clara Pueblo and Off-Reservation Trust Land, NM",25000US3495,3495
775,"Santa Rosa Rancheria, CA",25000US3520,3520
139,"Santa Rosa Reservation, CA",25000US3525,3525
269,"Santa Ynez Reservation, CA",25000US3540,3540
297,"Santa Ysabel Reservation, CA",25000US3550,3550
1019,"Santee Reservation, NE",25000US3565,3565
3349,"Santo Domingo Pueblo, NM",25000US3585,3585
61,"Sauk-Suiattle Reservation, WA",25000US3625,3625
2295,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",25000US3635,3635
0,"Seminole (FL) Trust Land, FL",25000US3665,3665
510,"Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, MN",25000US3680,3680
133,"Sherwood Valley Rancheria and Off-Reservation Trust Land, CA",25000US3735,3735
106,"Shingle Springs Rancheria and Off-Reservation Trust Land, CA",25000US3750,3750
140,"Shoalwater Bay Indian Reservation and Off-Reservation Trust Land, WA",25000US3780,3780
530,"Siletz Reservation and Off-Reservation Trust Land, OR",25000US3795,3795
758,"Skokomish Reservation, WA",25000US3825,3825
35,"Skull Valley Reservation, UT",25000US3840,3840
113,"Smith River Rancheria and Off-Reservation Trust Land, CA",25000US3855,3855
0,"Snoqualmie Reservation, WA",25000US3860,3860
525,"Soboba Reservation and Off-Reservation Trust Land, CA",25000US3870,3870
602,"Sokaogon Chippewa Community and Off-Reservation Trust Land, WI",25000US3885,3885
13043,"Southern Ute Reservation, CO",25000US3925,3925
96,"South Fork Reservation and Off-Reservation Trust Land, NV",25000US3930,3930
4240,"Spirit Lake Reservation, ND",25000US3935,3935
2064,"Spokane Reservation and Off-Reservation Trust Land, WA",25000US3940,3940
470,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",25000US3955,3955
8452,"Standing Rock Reservation, SD--ND",25000US3970,3970
151,"Stewart Community, NV",25000US3980,3980
71,"Stewarts Point Rancheria, CA",25000US3985,3985
17,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",25000US4000,4000
926,"Stockbridge Munsee Community and Off-Reservation Trust Land, WI",25000US4015,4015
75,"Sulphur Bank Rancheria, CA",25000US4030,4030
0,"Summit Lake Reservation and Off-Reservation Trust Land, NV",25000US4045,4045
655,"Susanville Indian Rancheria and Off-Reservation Trust Land, CA",25000US4060,4060
3071,"Swinomish Reservation and Off-Reservation Trust Land, WA",25000US4075,4075
185,"Sycuan Reservation and Off-Reservation Trust Land, CA",25000US4090,4090
99,"Table Bluff Reservation, CA",25000US4095,4095
35,"Table Mountain Rancheria, CA",25000US4110,4110
0,"Tampa Reservation, FL",25000US4130,4130
5181,"Taos Pueblo and Off-Reservation Trust Land, NM",25000US4140,4140
727,"Tesuque Pueblo and Off-Reservation Trust Land, NM",25000US4170,4170
23,"Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land, CA--NV",25000US4180,4180
9969,"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, AZ",25000US4200,4200
560,"Tonawanda Reservation, NY",25000US4225,4225
79,"Tonto Apache Reservation and Off-Reservation Trust Land, AZ",25000US4235,4235
4851,"Torres-Martinez Reservation, CA",25000US4255,4255
163,"Trinidad Rancheria and Off-Reservation Trust Land, CA",25000US4275,4275
10105,"Tulalip Reservation and Off-Reservation Trust Land, WA",25000US4290,4290
1388,"Tule River Reservation and Off-Reservation Trust Land, CA",25000US4300,4300
135,"Tunica-Biloxi Reservation and Off-Reservation Trust Land, LA",25000US4315,4315
146,"Tuolumne Rancheria, CA",25000US4330,4330
9006,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",25000US4345,4345
1061,"Tuscarora Nation Reservation, NY",25000US4360,4360
10,"Twenty-Nine Palms Reservation, CA",25000US4375,4375
25201,"Uintah and Ouray Reservation and Off-Reservation Trust Land, UT",25000US4390,4390
